Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,462
design__inferred_latch__count,0
design__instance__count,425
design__instance__area,3111.73
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,4
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00015829899348318577
power__switching__total,0.00004745702972286381
power__leakage__total,3.0501581260722332E-9
power__total,0.00020575907547026873
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2521157243222893
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2521157243222893
timing__hold__ws__corner:nom_tt_025C_1v80,0.3231569547869432
timing__setup__ws__corner:nom_tt_025C_1v80,17.718094160015784
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.323157
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,4
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25197597499511226
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25197597499511226
timing__hold__ws__corner:nom_ss_100C_1v60,0.8603869527030545
timing__setup__ws__corner:nom_ss_100C_1v60,15.59304907108192
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.860387
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,4
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25224864577767186
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25224864577767186
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1133150272354369
timing__setup__ws__corner:nom_ff_n40C_1v95,18.45534621806402
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113315
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,4
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2514094836807758
clock__skew__worst_setup,0.2514094836807758
timing__hold__ws,0.11111084589115884
timing__setup__ws,15.556345985028198
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111111
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 97.505 108.225
design__core__bbox,5.52 10.88 91.54 95.2
design__io,26
design__die__area,10552.5
design__core__area,7253.21
design__instance__count__stdcell,425
design__instance__area__stdcell,3111.73
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.429015
design__instance__utilization__stdcell,0.429015
design__instance__count__class:buffer,2
design__instance__count__class:inverter,15
design__instance__count__class:sequential_cell,52
design__instance__count__class:multi_input_combinational_cell,205
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,669
design__instance__count__class:tap_cell,99
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,24
design__io__hpwl,1110769
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,5312.56
design__violations,0
design__instance__count__class:timing_repair_buffer,44
design__instance__count__class:clock_buffer,5
design__instance__count__class:clock_inverter,3
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,15
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,339
route__net__special,2
route__drc_errors__iter:1,43
route__wirelength__iter:1,5960
route__drc_errors__iter:2,28
route__wirelength__iter:2,5946
route__drc_errors__iter:3,16
route__wirelength__iter:3,5930
route__drc_errors__iter:4,0
route__wirelength__iter:4,5931
route__drc_errors,0
route__wirelength,5931
route__vias,2171
route__vias__singlecut,2171
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,146.24
timing__unannotated_net__count__corner:nom_tt_025C_1v80,3
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,3
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,4
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2517139623538905
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25163130624736946
timing__hold__ws__corner:min_tt_025C_1v80,0.3201580757791629
timing__setup__ws__corner:min_tt_025C_1v80,17.73532837455906
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.320158
