Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,481
design__inferred_latch__count,0
design__instance__count,83486
design__instance__area,440072
design__instance_unmapped__count,0
synthesis__check_error__count,519
design__max_slew_violation__count__corner:nom_tt_025C_1v80,62
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3504
design__max_cap_violation__count__corner:nom_tt_025C_1v80,7
power__internal__total,0.030996646732091904
power__switching__total,0.05175349488854408
power__leakage__total,4.2947604583787324E-7
power__total,0.08275057375431061
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.47697680488684663
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.48428351588546004
timing__hold__ws__corner:nom_tt_025C_1v80,0.31504932887571374
timing__setup__ws__corner:nom_tt_025C_1v80,28.317567758856
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.315049
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,30.199018
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,5158
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3504
design__max_cap_violation__count__corner:nom_ss_100C_1v60,8
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.6582017339685734
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6644156524131419
timing__hold__ws__corner:nom_ss_100C_1v60,0.8661425155589435
timing__setup__ws__corner:nom_ss_100C_1v60,20.857248962746354
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.866143
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,20.857248
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3504
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,7
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.40468160523598956
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.41160717665946983
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10600021160851447
timing__setup__ws__corner:nom_ff_n40C_1v95,29.465639651127947
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.106000
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,33.770443
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,6286
design__max_fanout_violation__count,3504
design__max_cap_violation__count,10
clock__skew__worst_hold,-0.39802526290359524
clock__skew__worst_setup,0.40620083446585337
timing__hold__ws,0.10418088908660728
timing__setup__ws,20.46311622514391
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.104181
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,20.463116
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 892.38 903.1
design__core__bbox,5.52 10.88 886.42 892.16
design__io,123
design__die__area,805908
design__core__area,776320
design__instance__count__stdcell,83486
design__instance__area__stdcell,440072
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.56687
design__instance__utilization__stdcell,0.56687
design__instance__count__class:buffer,1
design__instance__count__class:inverter,3375
design__instance__count__class:sequential_cell,2991
design__instance__count__class:multi_input_combinational_cell,22670
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,48219
design__instance__count__class:tap_cell,11084
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count,0
floorplan__design__io,121
design__io__hpwl,20116186
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,86076.6
design__instance__displacement__mean,1.023
design__instance__displacement__max,33.08
route__wirelength__estimated,1.46806E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,5577
design__instance__count__class:clock_buffer,475
design__instance__count__class:clock_inverter,304
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2070
antenna__violating__nets,6
antenna__violating__pins,6
route__antenna_violation__count,6
design__instance__count__class:antenna_cell,37009
route__net,35101
route__net__special,2
route__drc_errors__iter:1,32873
route__wirelength__iter:1,1820285
route__drc_errors__iter:2,18719
route__wirelength__iter:2,1808228
route__drc_errors__iter:3,17985
route__wirelength__iter:3,1805007
route__drc_errors__iter:4,2509
route__wirelength__iter:4,1801443
route__drc_errors__iter:5,162
route__wirelength__iter:5,1801377
route__drc_errors__iter:6,18
route__wirelength__iter:6,1801280
route__drc_errors__iter:7,0
route__wirelength__iter:7,1801282
route__drc_errors,0
route__wirelength,1801282
route__vias,352513
route__vias__singlecut,352513
route__vias__multicut,0
design__disconnected_pin__count,52
design__critical_disconnected_pin__count,0
route__wirelength__max,1497.57
timing__unannotated_net__count__corner:nom_tt_025C_1v80,421
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,421
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,421
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,8
design__max_fanout_violation__count__corner:min_tt_025C_1v80,3504
design__max_cap_violation__count__corner:min_tt_025C_1v80,6
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.470308250100836
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.47692884325082635
timing__hold__ws__corner:min_tt_025C_1v80,0.31219583357711983
timing__setup__ws__corner:min_tt_025C_1v80,28.475693720101
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
