Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,455
design__inferred_latch__count,0
design__instance__count,835
design__instance__area,5840.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,13
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00028778723208233714
power__switching__total,0.0000958405653364025
power__leakage__total,5.956791504502235E-9
power__total,0.0003836337709799409
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25338246107363677
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25347699656685724
timing__hold__ws__corner:nom_tt_025C_1v80,0.3217468604834866
timing__setup__ws__corner:nom_tt_025C_1v80,17.3518111457291
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.321747
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,22.275200
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,13
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25502375932851046
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25502375932851046
timing__hold__ws__corner:nom_ss_100C_1v60,0.8828684699871736
timing__setup__ws__corner:nom_ss_100C_1v60,15.040728199743338
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.882868
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,19.660715
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,13
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2529662384499332
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2530625503000433
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11718709667678043
timing__setup__ws__corner:nom_ff_n40C_1v95,18.169276375485875
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.117187
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,23.139030
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,13
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25219171909047416
clock__skew__worst_setup,0.2523727132041826
timing__hold__ws,0.11417295210197977
timing__setup__ws,14.991233567727326
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114173
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,19.627554
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 121.59 132.31
design__core__bbox,5.52 10.88 115.92 119.68
design__io,131
design__die__area,16087.6
design__core__area,12011.5
design__instance__count__stdcell,835
design__instance__area__stdcell,5840.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.48625
design__instance__utilization__stdcell,0.48625
design__instance__count__class:buffer,2
design__instance__count__class:inverter,61
design__instance__count__class:sequential_cell,95
design__instance__count__class:multi_input_combinational_cell,277
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1013
design__instance__count__class:tap_cell,168
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count,0
floorplan__design__io,129
design__io__hpwl,3849205
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,120.7
design__instance__displacement__mean,0.131
design__instance__displacement__max,8.74
route__wirelength__estimated,11466
design__violations,0
design__instance__count__class:timing_repair_buffer,119
design__instance__count__class:clock_buffer,13
design__instance__count__class:clock_inverter,3
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,30
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,97
route__net,650
route__net__special,2
route__drc_errors__iter:1,231
route__wirelength__iter:1,12797
route__drc_errors__iter:2,62
route__wirelength__iter:2,12620
route__drc_errors__iter:3,64
route__wirelength__iter:3,12697
route__drc_errors__iter:4,3
route__wirelength__iter:4,12684
route__drc_errors__iter:5,0
route__wirelength__iter:5,12682
route__drc_errors,0
route__wirelength,12682
route__vias,3797
route__vias__singlecut,3797
route__vias__multicut,0
design__disconnected_pin__count,60
design__critical_disconnected_pin__count,0
route__wirelength__max,261.37
timing__unannotated_net__count__corner:nom_tt_025C_1v80,67
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,67
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,67
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,13
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25254479777786637
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2527516323332037
timing__hold__ws__corner:min_tt_025C_1v80,0.31727771308261316
timing__setup__ws__corner:min_tt_025C_1v80,17.385609888268263
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
