Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,446
design__inferred_latch__count,0
design__instance__count,482
design__instance__area,3389.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,4
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00015412436914630234
power__switching__total,0.000052761690312763676
power__leakage__total,3.661157599310627E-9
power__total,0.00020688973017968237
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25239339110860104
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2523023250624306
timing__hold__ws__corner:nom_tt_025C_1v80,0.323194702370848
timing__setup__ws__corner:nom_tt_025C_1v80,17.39207582734655
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.323195
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,4
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.252856270856234
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2527610692291799
timing__hold__ws__corner:nom_ss_100C_1v60,0.886603482392251
timing__setup__ws__corner:nom_ss_100C_1v60,15.084282694320398
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.886603
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,4
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25206926148739467
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2519799995536903
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11768714114121383
timing__setup__ws__corner:nom_ff_n40C_1v95,18.206222822433478
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.117687
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,4
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2517189028464898
clock__skew__worst_setup,0.25165231721870474
timing__hold__ws,0.11475037911341805
timing__setup__ws,15.038539728055303
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114750
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 97.575 108.295
design__core__bbox,5.52 10.88 92.0 95.2
design__io,79
design__die__area,10566.9
design__core__area,7291.99
design__instance__count__stdcell,482
design__instance__area__stdcell,3389.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.464825
design__instance__utilization__stdcell,0.464825
design__instance__count__class:buffer,6
design__instance__count__class:inverter,15
design__instance__count__class:sequential_cell,52
design__instance__count__class:multi_input_combinational_cell,205
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,663
design__instance__count__class:tap_cell,99
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,77
design__io__hpwl,3538002
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,6627.79
design__violations,0
design__instance__count__class:timing_repair_buffer,96
design__instance__count__class:clock_buffer,8
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,14
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
route__net,395
route__net__special,2
route__drc_errors__iter:1,59
route__wirelength__iter:1,7478
route__drc_errors__iter:2,50
route__wirelength__iter:2,7433
route__drc_errors__iter:3,30
route__wirelength__iter:3,7423
route__drc_errors__iter:4,0
route__wirelength__iter:4,7423
route__drc_errors,0
route__wirelength,7423
route__vias,2464
route__vias__singlecut,2464
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,174.025
timing__unannotated_net__count__corner:nom_tt_025C_1v80,3
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,3
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,4
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25202643463300856
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2519592106269663
timing__hold__ws__corner:min_tt_025C_1v80,0.31877967834395576
timing__setup__ws__corner:min_tt_025C_1v80,17.415132939774065
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.318780
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
